Type	Dist_threshold	Odds_Ratio	P_Value	species
Direct	No filter	0.961625388606397	0.669153766694261	Chimp
Direct	10000	0.956629191531685	0.60553314170633	Chimp
Direct	5000	0.964713234662012	0.731421410319395	Chimp
Direct	1000	0.53344744048873	0.0807089277647237	Chimp
Inverted	No filter	1.64390908225335	5.46348755652487e-18	Chimp
Inverted	10000	1.61841261382663	1.2496827037875e-15	Chimp
Inverted	5000	1.65765432369632	2.13666564567636e-14	Chimp
Inverted	1000	2.19274720472651	0.000114425723419153	Chimp
