Type	Dist_threshold	Odds_Ratio	P_Value	species
Direct	No filter	1.13661583777107	0.0798368517116139	Orangutan
Direct	10000	1.07921775582664	0.334274838037837	Orangutan
Direct	5000	1.01978434177564	0.824459073451479	Orangutan
Direct	1000	0.682523432222073	0.366479397919521	Orangutan
Inverted	No filter	1.89032335138579	7.63912579212699e-18	Orangutan
Inverted	10000	1.88548487927826	1.71813440356488e-15	Orangutan
Inverted	5000	1.98419849178134	3.78178016198245e-15	Orangutan
Inverted	1000	3.2278344116762	2.44882708667136e-05	Orangutan
