Type	Dist_threshold	Odds_Ratio	P_Value	species
Direct	No filter	1.19353783399036	0.0508192592553522	Rhesus
Direct	10000	1.12633072601862	0.225325037296128	Rhesus
Direct	5000	1.03139328422469	0.782395605211616	Rhesus
Direct	1000	1.28171587312862	0.463775536434421	Rhesus
Inverted	No filter	1.77778710550282	5.03475509427248e-10	Rhesus
Inverted	10000	1.74177098610238	4.11458769132896e-08	Rhesus
Inverted	5000	1.81583372205869	5.70992706503954e-08	Rhesus
Inverted	1000	2.6628725263307	0.00213437352585527	Rhesus
